"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"text:endless_ranked","Ranked #$0","Rankad #$0"
"text:endless_unlock","Complete story mode with your job intact to unlock endless mode","Klara av storyläge med ditt jobb intakt för att låsa upp oändligt läge"
"text:endless_wrongcode","S O R R Y","S O R R Y"
"text:date_verbose","$month $day, $year","$year-$month-$day"
"text:month_1","January","Januari"
"text:month_2","February","Februari"
"text:month_3","March","Mars"
"text:month_4","April","April"
"text:month_5","May","Maj"
"text:month_6","June","Juni"
"text:month_7","July","Juli"
"text:month_8","August","Augusti"
"text:month_9","September","September"
"text:month_10","October","Oktober"
"text:month_11","November","November"
"text:month_12","December","December"
"text:day_1","1st","1"
"text:day_2","2nd","2"
"text:day_3","3rd","3"
"text:day_4","4th","4"
"text:day_5","5th","5"
"text:day_6","6th","6"
"text:day_7","7th","7"
"text:day_8","8th","8"
"text:day_9","9th","9"
"text:day_10","10th","10"
"text:day_11","11th","11"
"text:day_12","12th","12"
"text:day_13","13th","13"
"text:day_14","14th","14"
"text:day_15","15th","15"
"text:day_16","16th","16"
"text:day_17","17th","17"
"text:day_18","18th","18"
"text:day_19","19th","19"
"text:day_20","20th","20"
"text:day_21","21st","21"
"text:day_22","22nd","22"
"text:day_23","23rd","23"
"text:day_24","24th","24"
"text:day_25","25th","25"
"text:day_26","26th","26"
"text:day_27","27th","27"
"text:day_28","28th","28"
"text:day_29","29th","29"
"text:day_30","30th","30"
"text:day_31","31st","31"
"text:bulletin_default","Arstotzka
Ministry of Admission
Official Bulletin

Inspector,

$content

Glory to Arstotzka.","Arstotzka
Tillträdesministeriet
Officiell Bulletin

Inspektör,

$content

Ära åt Arstotzka."
"text:bulletin_notice","Arstotzka
Ministry of Admission
Official Bulletin

NOTICE:

$content

Glory to Arstotzka.","Arstotzka
Tillträdesministeriet
Officiell Bulletin

NOTERA:

$content

Ära åt Arstotzka."
"text:bulletin_endless","Arstotzka
Ministry of Admission
Official Bulletin

$style

$course

Glory to Arstotzka.","Arstotzka
Tillträdesministeriet
Officiell Bulletin

$style

$course

Ära åt Arstotzka."
"bulletin:1A","Welcome to your new position at Grestin Border Checkpoint.

Stamp passport ENTRY VISA and return documents to entrant.

Entry is restricted to Arstotzkan citizens only.

Deny all foreigners.","Välkommen till din nya position vid Grestins gränskontroll.

Stämpla pass INRESEVISUM och lämna tillbaka till sökande.

Inresa är begränsad till Arstotzkanska medborgare enbart.

Avslå alla utlänningar."
"bulletin:2A","From today, foreigners with a valid passport are permitted to enter.

Your booth's INSPECTION hardware is now installed.

Check all passport information carefully for discrepancies. Deny any entrant with inconsistent information.

Continued...[PAGESNOTE]","Från och med idag är alla utlänningar med giltigt pass tillåtna att komma in.

Ditt bås INSPEKTIONS-hårdvara är nu installerad.

Kontrollera all passinformation efter diskrepanser. Avslå inresa för alla sökande med motsägelsefull information

Fortsatt...[PAGESNOTE]"
"bulletin:2B","__________________________
INSPECT MODE

Enter INSPECT mode using the red button on your desk. While inspecting, highlight two pieces of discrepant information for further options.

__________________________
RULES &amp; REGULATIONS

This post is bound by Ministry of Admission rules and regulations. Study the rule book closely.","__________________________
INSPEKTIONSLÄGE

Gå in i INSPEKTIONS-läge med den röda knappen på din disk. När du inspekterar, markera två delar information med diskrepant information för vidare alternativ.

__________________________
REGLER &amp; REGULATIONER

Denna post är bundet av Tillträdesministeriets regler och regulationer. Studera regelverket noggrant."
"bulletin:3A","Entry for non-citizens is now regulated. 

All foreigners require a valid ENTRY TICKET.

Verify information before stamping passport ENTRY VISA and returning all documents to entrant. [PAGESNOTE]","Inresa för alla icke-medborgare är nu reglerad.

Alla utlänningar krävs på giltig ENTRÉBILJETT.

Verifiera informationen innan stämpling av passets INRESESVISUM och ge alla dokument tillbaka till sökanden. [PAGESNOTE]"
"bulletin:4A","Stricter credential requirements have been instituted.

Arstotzkan citizens must show their ID CARD.

Foreigners must secure and present a valid ENTRY PERMIT.

Entry tickets are no longer sufficient.

Continued...","Skärpta behörighetskrav har instiftats.

Arstotzkanska medborgare måste uppvisa ID-KORT.

Utlänningar måste införskaffa och uppvisa giltigt INRESETILLSTÅND.

Entrébiljetter är inte längre tillräckligt.

Fortsatt..."
"bulletin:4B","A new chapter detailing document features has been added to your rulebook.

Check all information thoroughly.

Deny any applicant with discrepant documents.

Refer to the AUDIO TRANSCRIPT to correlate entrant's statements.","Ett nytt kapitel beskrivande dokumentfunktioner har lagts till regelverket.

Kontrollera all information grundligt.

Se BANDUTSKRIFTEN för att korrelera sökandes påståenden."
"bulletin:5A","You are now authorized to detain suspicious individuals.

Interrogate discrepancies to enable detention option.","Du är nu behörig att kvarhålla misstänkta individer.

Förhör om diskrepanser för att aktivera kvarhållandealternativ."
"bulletin:6A","The Ministry of Labor has instituted a special program to control immigrant labor.

Travelers entering for work require a valid WORK PASS.","Arbetsministeriet har instiftat ett speciellt program för att kontrollera arbetskraftsinvandring.

Resenärer som kommer in för arbete kräver ett giltigt ARBETSTILLSTÅND."
"bulletin:7A","To facilitate more thorough inspections, a SEARCH scanner system has been installed in your booth.

Kolechian extremists are suspected in yesterday's bombing. 

Search all Kolechians before approving their entry.","För att underlätta mer noggranna kontroller, har ett VISITERINGS-skannersystem installerats i ditt bås.

Kolechianska extremister misstänks i gårdagens bombning.

Visitera alla Kolechianer innan godkännande av deras inresa."
"bulletin:8A","The Kolechians have filed a formal complaint. 

A diplomat will arrive today for high-level discussions.

Automatic searches of Kolechian citizens are no longer authorized.

Continued...[PAGESNOTE]","Kolechianerna har inlämnat ett officiellt klagomål.

En diplomat anländer idag för diskussioner på hög nivå.

Automatisk visitation av Kolechianska medborgare är inte längre godkänt.

Fortsatt...[PAGESNOTE]"
"bulletin:8B","__________________________
DIPLOMATS

Diplomats require only a PASSPORT and valid DIPLOMATIC AUTHORIZATION to enter. 

Refer to the rulebook for updated document information.","__________________________
DIPLOMATER

Diplomater kräver endast ett PASS och giltig DIPLOMATISK BEFOGENHET för inresa.

Se regelverket för uppdaterad dokumentinformation."
"bulletin:9A","An undercover agent of the Ministry of Information has been compromised.

The Ministry of Admission has offered its services as liaison. Expect a possible drop later today.","En hemlig agent vid Informationsministeriet har äventyrats.

Tillträdesministeriet har erbjudit sina tjänster kontaktperson. Förvänta ett eventuellt paket idag."
"bulletin:10A","The divisional authority of East Grestin operations will visit today.

Maintain your best behavior.","Divisionsansvarig för Östra Grestinverksamheten kommer idag på besök.

Upprätthåll ditt bästa uppförande."
"bulletin:11A","A break-in at M.O.A. offices may have compromised our document sealing plates.

Nothing important was stolen but intelligence suggests counterfeiters have already begun forging official Arstotzkan documents.

Continued...","Ett inbrott hos TTM-kontoret kan ha äventyrat våra dokumentsigillplattor.

Inget viktigt stals men underrättelser antyder att förfalskare redan börjat skapa oficiella Arstotzkanska dokument.

Fortsatt..."
"bulletin:11B","__________________________
FORGERIES

Double-check that required documents contain valid seals. 

Correlate missing or wrong seals against the appropriate entries in the DOCUMENTS chapter of your rulebook.","__________________________
FÖRFALSKNINGAR

Dubbelkontrollera att nödvändiga dokument innehåller giltiga sigill.

Korrelera saknade eller felaktiga sigill mot lämpliga uppslag i DOKUMENT-kapitlet i regelverket."
"bulletin:13A","The new director is unsatisfied with the level of scrutiny afforded to foreigners.

From today forward, all foreign entrants must present a recent IDENTITY SUPPLEMENT listing weight, height, and appearance.

The rulebook DOCUMENTS chapter has been updated.","Den nya direktören är missnöjd med nivån på granskning som ges utlänningar.

Från och med idag skall samtliga utlänningar  presentera ett färskt IDENTITETSTILLÄGG listande vikt, längd och utseende.

Regelverkets DOKUMENT-kapitel har uppdaterats."
"bulletin:14A","The Ministry of Justice has requested our support.

Daily bulletins will now contain a listing of the top 3 most wanted international criminals.

Check faces against entrants and detain suspects immediately.[PAGESNOTE]","Justitieministeriet har begärt vårt stöd.

Dagliga bulletiner kommer nu innehålla en lista över de 3 mest internationellt eftersökta brottslingarna.

Kontrollera ansikten mot sökanden och kvarhåll misstänkta omgående.[PAGESNOTE]"
"bulletin:16A","The Ministry of Justice has appropriated the outer guard detail. 

You are now responsible for controlling trespasser activity.

The provided key can be used to unlock the tranquilizer gun once an alarm has been raised.

Continued...[PAGESNOTE]","Justitieministeriet har tillskansat sig den yttre vakttruppen.

Du är nu ansvarig för att kontrollera inkräktaraktivitet.

Den tillhandahållna nyckeln kan användas för att låsa upp bedövningsvapnet när ett larm gått.

Fortsatt...[PAGESNOTE]"
"bulletin:16B","__________________________
COMPENSATION

You will receive a bonus for stopping any trespasser. A smaller bonus is provided for firing on, but missing, your target.

__________________________
WEAPONS PROTOCOL

Review instructional diagram on following page.","__________________________
KOMPENSATION

Du kommer erhålla en bonus för varje stoppad inkräktare. En mindre bonus erhålls om du avfyrat mot, men missat, ditt mål.

__________________________
VAPENPROTOKOLL

Se instruktionsdiagram på följande sida."
"bulletin:18A","Unfavorable international press has affected immigration protocol.

All denials must be accompanied by a REASON FOR DENIAL stamp.

A new computer inking system has been installed. Interrogate discrepancies to prime the REASON FOR DENIAL stamp.

Continued...","Negativ internationell press har påverkat invandringsprotokoll.

Alla avslag måste åtföljas av en ORSAK TILL AVSLAG-stämpel.

Ett nytt datorbläcksystem har installerats. Förhör diskrepanser för att fylla ORSAK TILL AVSLAG-stämpeln.

Fortsatt..."
"bulletin:18B","__________________________
DENIAL PROTOCOL

REASON FOR DENIAL stamp is activated on first interrogation.

When denying entry, stamp both DENIED and REASON FOR DENIAL on passport.

If applicant clarifies discrepancies sufficiently, approval is authorized even while REASON FOR DENIAL stamp remains available.","__________________________
AVSLAGSPROTOKOLL

ORSAK TILL AVSLAG-stämpeln aktiveras vid första förhöret.

När inträde avslås, stämpla både AVSLÅS och ORSAK TILL AVSLAG på passet.

Om sökande i tillräcklig utsträckning klargör diskrepanser, är godkännande tillåtet även när ORSAK TILL AVSLAG-stämpeln är tillgänglig."
"bulletin:19A","Impor rejects all imported goods from Arstotzka.

Under request from the Ministry of Trade, the Ministry of Admission will react to this violation.

Deny all travelers from Impor.","Impor avvisar importerade varor från Arstotzka.

Enligt begäran från Handelsministeriet, kommer Tillträdesministeriet reagera på denna kränkning.

Avslå alla resenärer från Impor."
"bulletin:20A","Impor has relented on their faulty policy.

Imporians are now permitted entry.

The divisional authority of East Grestin operations will visit again today.","Impor har dragit tillbaka sin felaktiga policy.

Imporier tillåts nu inträde.

Divisionsansvarig för Östra Grestinverksamheten kommer idag åter på besök."
"bulletin:21A","A special program for political asylum has been established.

Those seeking asylum must carry a valid GRANT OF ASYLUM.

Entrants with such a grant do not require an ENTRY PERMIT or an ID SUPPLEMENT.","Ett särskilt program för politisk asyl har inrättats.

De som söker asyl måste ha ett giltigt BEVILJANDE AV ASYL.

Sökande med ett sådant beviljande krävs ej på INRESETILLSTÅND eller ett ID-TILLÄGG."
"bulletin:23A","Your position is important and your responsibilities are broad.

Follow all protocols strictly.","Din position är viktig och ditt ansvar är brett.

Följ strikt alla protokoll."
"bulletin:24A","Recent events have cast suspicion on the activities of Arstotzkan citizens in the ALTAN district.

The Ministry of Information has requested our cooperation.

A special drawer for confiscating documents has been installed in your booth.

Continued...","Den senaste tidens händelser har misstänkliggjort aktiviteter hos Arstotzkanska medborgare i ALTHAN-distriktet.

Informationsministeriet har begärt vårt samarbete.

En speciell låda för konfiskerade dokument har installerats i ditt bås.

Fortsatt..."
"bulletin:24B","The rulebook has been updated with information regarding confiscation policy.

Confiscate all Arstotzkan passports from residents living in ALTAN district.

Travelers may still be granted entry if passport is confiscated and no other rules are violated.

PASSPORT SEIZURE slips will be issued to allow entry or denial without a passport.","Regelverket har uppdaterats med information gällande konfiskeringspolicyn.

Konfiskera alla Arstotzkanska pass från medborgare boende i ALTHAN-distriktet.

Resenärer kan fortfarande beviljas inresa om passet konfiskeras och inga övriga regler överträtts.

PASSBESLAG-sedlar kommer utfärdas för att tillåta inresa eller avslag utan pass."
"bulletin:25A","United Federation citizens present a risk of spreading infectious disease.

Deny all entrants from United Federation.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","Förenta Federationsmedborgare utgör en risk att sprida smittsamma sjukdomar.

Avslå alla sökande från Förenta Federationen.

Fortsätt konfiskera Arstotzkanska pass från medborgare boende i ALTHAN-distriktet."
"bulletin:26A","The risk of disease is too great. A new protocol has been instituted.

All entrants must carry a valid CERTIFICATE OF VACCINATION with an up-to-date POLIO vaccine.

This requirement extends to natives, foreigners, diplomats, and asylum seekers.

Continued...","Risken för sjukdom är alltför stor. Ett nytt protokoll har inrättats.

Alla sökande måste ha ett giltigt VACCINATIONSCERTIFIKAT med en uppdaterad POLIO-vaccinering.

Detta krav omfattar infödda, utlänningar, diplomater och asylsökande.

Fortsatt..."
"bulletin:26B","United Federation citizens are permitted entry with such certification.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","Förenta Federationsmedborgare tillåts inresa med detta certifikat.

Fortsätt konfiskera Arstotzkanska pass från medborgare boende i ALTHAN-distriktet."
"bulletin:27A","In order to improve efficiency, the ENTRY PERMIT and ID SUPPLEMENT have been consolidated into a single ACCESS PERMIT.

Foreigners are now required to present a valid ACCESS PERMIT.

Continued...","För att förbättra effektiviteten har INRESETILLSTÅNDET och ID-TILLÄGGET förenats i ett enda TILLTRÄDESTILLSTÅND.

Utlänningar krävs nu på ett giltigt TILLTRÄDESTILLSTÅND.

Fortsatt..."
"bulletin:27B","Yesterday's coordinated attack has prompted an emergency meeting. 

An important Kolechian negotiator will arrive today to discuss issues at this checkpoint.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","Gårdagens samordnade attack har föranlett ett krismöte.

En betydande Kolechiansk förhandlare anländer idag för att diskutera problem vid denna gränskontroll.

Fortsätt konfiskera Arstotzkanska pass från medborgare boende i ALTHAN-distriktet."
"bulletin:28A","In response to continued attacks, the Ministry of Information is expanding the passport confiscation program.

Confiscate all Arstotzkan passports from native entrants.

There are no exceptions.

Do not confiscate foreign passports.","Som svar på fortsatta attacker kommer Informationsministeriet utvidga passkonfiskeringsprogrammet.

Konfiskera alla Arstotzkanska pass från infödda sökande.

Det finns inga undantag.

Konfiskera ej utländska pass."
"bulletin:29A","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...","[NOTICE] Alla statligt anställda är föremål för en grundlig informationsrevision. Samröre med otillåtna grupper är grund för omedelbart gripande.

Din revision är planerad till:<br>24 DECEMBER

LÄMNA INTE DIN DESIGNERADE REGION.

Fortsatt..."
"bulletin:29B","Continue to confiscate all Arstotzkan passports from native entrants.","Fortsätt konfiskera alla Arstotzkanska pass från infödda sökande."
"bulletin:30A","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...","[NOTICE] Alla statligt anställda är föremål för en grundlig informationsrevision. Samröre med otillåtna grupper är grund för omedelbart gripande.

Din revision är planerad till:<br>24 DECEMBER

LÄMNA INTE DIN DESIGNERADE REGION.

Fortsatt..."
"bulletin:30B","Continue to confiscate all Arstotzkan passports from native entrants.","Fortsätt konfiskera alla Arstotzkanska pass från infödda sökande."
"bulletin:31A","The Ministry of Admission is involved in discussions regarding the closure of this checkpoint.

Until a decision is made, maintain your duties as ordered.

Continued...","Tillträdesministeriet är involverat i diskussioner angående avvecklande av denna gränskontroll.

Till dess att ett beslut fattats, bibehåll dina uppdrag som beordrats."
"bulletin:31B","You are scheduled for an information audit tomorrow morning.

DO NOT LEAVE YOUR DESIGNATED REGION.

Continue to confiscate all Arstotzkan passports from native entrants.","Du är planerad till en informationsrevision imorgon bitti.

LÄMNA INTE DIN DESIGNERADE REGION.

Fortsätt konfiskera alla Arstotzkanska pass från infödda sökande."
"facts","$paper: Invalid $fact","$paper: Ogiltigt $fact"
"facts","Missing $paper","Saknande $paper"
"facts","$0 DISTRICT","$0 DISTRIKT"
"facts","Presence","Närvaro"
"facts","Sufficience","Tillräcklighet"
"facts","Excellence","Förträfflighet"
"facts","Obristan","Obristan"
"facts","Antegria","Antegria"
"facts","Republia","Republia"
"facts","UnitedFed","FörentaFed."
"facts","Impor","Impor"
"facts","Kolechia","Kolechia"
"facts","Arstotzka","Arstotzka"
"facts","Skal","Skal"
"facts","Lorndaz","Lorndaz"
"facts","Mergerous","Mergerous"
"facts","St. Marmero","St. Marmero"
"facts","Glorian","Glorian"
"facts","Outer Grouse","Yttre Grouse"
"facts","True Glorian","Sanna Glorian"
"facts","Lesrenadi","Lesrenadi"
"facts","Bostan","Bostan"
"facts","Great Rapid","Great Rapid"
"facts","Shingleton","Shingleton"
"facts","Korista City","Korista City"
"facts","Enkyo","Enkyo"
"facts","Haihan","Haihan"
"facts","Tsunkeido","Tsunkeido"
"facts","Yurko City","Yurko City"
"facts","Vedor","Vedor"
"facts","West Grestin","V. Grestin"
"facts","Orvech Vonor","Orvech Vonor"
"facts","East Grestin","Ö. Grestin"
"facts","Paradizna","Paradizna"
"facts","Passport","Pass"
"facts","Entry Ticket","Entrébiljett"
"facts","Entry Permit","Inresetillstånd"
"facts","Work Pass","Arbetstillstånd"
"facts","Id Card","ID-kort"
"facts","Id Supplement","ID-tillägg"
"facts","Access Permit","Tillträdestillstånd"
"facts","Diplomatic Auth","Diplomatisk befogenhet"
"facts","Asylum Grant","Beviljande av asyl"
"facts","Vaccine Cert","Vaccincertifikat"
"facts","Identity Record","Identitetsutdrag"
"facts","Fingerprints","Fingeravtryck"
"facts","Name","Namn"
"facts","Id Number","ID-nummer"
"facts","Expiration Date","Utgångsdatum"
"facts","Issuing City","Utfärdandeort"
"facts","Birth Date","Födelsedatum"
"facts","Alias","Alias"
"facts","Height","Längd"
"facts","Weight","Vikt"
"facts","Description","Beskrivning"
"facts","Thumbprint","Tumavtryck"
"facts","Date","Datum"
"facts","Purpose","Syfte"
"facts","Duration","Vistelsetid"
"facts","Face","Ansikte"
"facts","District","Distrikt"
"facts","Gender","Kön"
"facts","Work End Date","Arbetes slutdatum"
"facts","Altan","Althan"
"facts","Vescillo","Vescillo"
"facts","Burnton","Burnton"
"facts","Octovalis","Octovalis"
"facts","Gennistora","Gennistora"
"facts","Lendiforma","Lendiforma"
"facts","Wozenfield","Wozenfield"
"facts","Fardesto","Fardesto"
"facts","DENTISTRY","TANDVÅRD"
"facts","HEALTH-CARE","SJUKVÅRD"
"facts","GENERAL-LABOR","ALLMÄNT ARBETE"
"facts","ENGINEERING","INGENJÖRSTEKNIK"
"facts","SPORTS","SPORT"
"facts","ARCHITECTURE","ARKITEKTUR"
"facts","FOOD-SERVICE","RESTURANG"
"facts","AVIATION","LUFTFART"
"facts","ACCOUNTING","BOKFÖRING"
"facts","FISHING","FISKE"
"facts","DRAFTING","INKALLELSE"
"facts","RESEARCH","FORSKNING"
"facts","FINE-ARTS","KONST"
"facts","AGRICULTURE","JORDBRUK"
"facts","MANUFACTURING","TILLVERKNING"
"facts","CONSTRUCTION","BYGGNAD"
"facts","SURVEYING","FÄLTMÄTNING"
"facts","STATISTICS","STATISTIK"
"facts","POLIO","POLIO"
"facts","HPV","HPV"
"facts","COWPOX","KOKOPPOR"
"facts","TETANUS","STELKRAMP"
"facts","YEL.FEV.","GUL.FEB."
"facts","CHOLERA","KOLERA"
"facts","RUBELLA","RÖD.HUND"
"facts","HEP-B","HEP-B"
"facts","MEASLES","MÄSSLING"
"facts","TUBERC.","TBC"
"facts","2 DAYS","2 DAGAR"
"facts","14 DAYS","14 DAGAR"
"facts","1 MONTH","1 MÅNAD"
"facts","2 MONTHS","2 MÅNADER"
"facts","3 MONTHS","3 MÅNADER"
"facts","6 MONTHS","6 MÅNADER"
"facts","1 YEAR","1 ÅR"
"facts","FOREVER","FÖR EVIGT"
"facts","visit","besöka"
"facts","transit","genomresa"
"facts","work","arbeta"
"facts","immigrate","invandra"
"facts","Possible Smuggler Admitted","Möjlig smugglare insläppt"
"facts","Missing documents","Saknade dokument"
"facts","Wanted criminal admitted","Eftersökt brottsling insläppt"
"facts","Incorrect purpose response","Felaktigt svar på syfte med inresa"
"facts","Incorrect visit duration response","Felaktigt svar på vistelsetid"
"facts","Passport: Non-matching photo","Pass: Icke-matchande foto"
"facts","Forged Entry Permit","Förfalskat inresetillstånd"
"facts","Forged Work Pass","Förfalskat arbetstillstånd"
"facts","Id Card: Non-matching photo","ID-kort: Icke-matchande foto"
"facts","Forged Access Permit","Förfalskat tillträdestillstånd"
"facts","No Diplomatic Access to Arstotzka","Ingen diplomatisk tillgång till Arstotzka"
"facts","Forged Diplomatic Auth","Förfalskad diplomatisk befogenhet"
"facts","Forged Asylum Grant Seal","Förfalskat beviljande av asyl"
"facts","Necessary vaccine expired","Nödvändigt vaccin utgånget"
"facts","Missing necessary vaccine","Saknar nödvändigt vaccin"
"facts","Name does not match record","Namn matchar inte registerutdrag"
"facts","Alias does not match record","Alias matchar inte registerutdrag"
"facts","Fingerprints do not match record","Fingeravtryck matchar inte registerutdrag"
"facts","Cobrastan is not a real country","Cobrastan är inget riktigt land"
"facts","No entry from Antegria","Inget tillträde från Antegria"
"facts","No entry from Arstotzka","Inget tillträde från Arstotzka"
"facts","No entry from Republia","Inget tillträde från Republia"
"facts","No entry from United Fed","Inget tillträde från Förenta Fed."
"facts","No entry from Obristan","Inget tillträde från Obristan"
"facts","No entry from Impor","Inget tillträde från Impor"
"facts","No entry from Kolechia","Inget tillträde från Kolechia"
"facts","Possible Terrorist Admitted","Möjlig terrorist insläppt"
"facts","Entrant Holds Conflicting Passports","Sökanden innehar motstridiga pass"
"facts","Entrant must have a passport","Sökanden måste inneha ett pass"
"facts","Foreigners require an entry permit","Inresetillstånd krävs av utlänningar"
"facts","Foreigners require an entry ticket","Entrébiljett krävs av utlänningar"
"facts","All documents must be current","Samtliga dokument ska vara aktuella"
"facts","Workers must have a work pass","Arbetare måste ha ett arbetstillstånd"
"facts","Citizens must have an id card","Medborgare måste ha ett ID-kort"
"facts","Foreigners require an id supplement","ID-tillägg krävs av utlänningar"
"facts","Arstotzkan citizens only","Bara arstotzkanska medborgare"
"facts","No entry from United Federation","Ingen inresa från Förenta Fed."
"facts","No weapons or contraband","Inga vapen eller smuggelgods"
"facts","All Kolechians must be searched","Alla Kolechianer måste visiteras"
"facts","Diplomats require authorization","Behörighet krävs av diplomater"
"facts","Entrant must have polio vaccine cert","Sökande måste ha poliovaccincertifikat"
"facts","Asylum seekers must have a grant","Asylsökande måste ha ett beviljande"
"facts","Foreigners require an access permit","Tillträdestillstånd krävs av utlänningar"
"facts","CONFISCATE ARSTOTZKAN PASSPORTS BELONGING TO ALTAN RESIDENTS.","KONFISKERA ARSTOTZKANSKA PASS TILLHÖRANDE ALTHANSKA INVÅNARE."
"facts","CONFISCATE ALL ARSTOTZKAN PASSPORTS. NO EXCEPTIONS.","KONFISKERA ALLA ARSTOTZKANSKA PASS. INGA UNDANTAG."
"facts","Passport not confiscated","Pass inte konfiskerat"
"paper:SecondPassport","West Grestin","Västra Grestin"
"paper:Rules","Basic Rules","Grundregler"
"paper:Rules","Regional Map","Regional karta"
"paper:Rules","Booth Info","Båsinformation"
"paper:Rules","Documents","Dokument"
"paper:Rules","Confiscation","Konfiskering"
"paper:Rules","Obristan","Obristan"
"paper:Rules","Antegria","Antegria"
"paper:Rules","Republia","Republia"
"paper:Rules","United","Förenta"
"paper:Rules","Federation","Federationen"
"paper:Rules","Impor","Impor"
"paper:Rules","Kolechia","Kolechia"
"paper:Rules","Arstotzka","Arstotzka"
"paper:Rules","ANTEGRIA","ANTEGRIA"
"paper:Rules","ARSTOTZKA","ARSTOTZKA"
"paper:Rules","IMPOR","IMPOR"
"paper:Rules","KOLECHIA","KOLECHIA"
"paper:Rules","OBRISTAN","OBRISTAN"
"paper:Rules","REPUBLIA","REPUBLIA"
"paper:Rules","UNITED FED.","FÖRENTA FED."
"paper:Rules","Id Card (Native)","ID-kort (Inhemsk)"
"paper:Rules","Entry Permit","Inresetillstånd"
"paper:Rules","Id Supplement","ID-tillägg"
"paper:Rules","Access Permit","Tillträdestillstånd"
"paper:Rules","Work Pass","Arbetstillstånd"
"paper:Rules","Diplomatic Auth.","Diplomatisk befogenhet"
"paper:Rules","Grant of Asylum","Beviljande av asyl"
"paper:Rules","Vaccine Cert.","Vaccinationscertifikat"
"intro","Congratulations.","Gratulerar."
"intro","The October labor lottery is complete. Your name was pulled.","Arbetslotteriet i oktober är färdigställt. Ditt namn drogs."
"intro","For immediate placement, report to the Ministry of Admission at Grestin Border Checkpoint.","För omgående placering, rapportera till Tillträdesministeriet vid Grestins gränskontroll."
"intro","An apartment will be provided for you and your family in East Grestin. Expect a Class-8 dwelling.","En lägenhet kommer tilldelas dig och din familj i Östra Grestin. Förvänta dig en klass 8-bostad."
"intro","Glory to Arstotzka.","Ära åt Arstotzka."
"end:in-debt","Arstotzka has zero tolerance for delinquency.","Arstotzka har nolltolerans mot lagöverträdelser."
"end:in-debt","Your family will be sent back to their village.","Din familj kommer skickas tillbaka till sin by."
"end:in-debt","You are under arrest until your debts are repaid.","Du är under arrest tills dess att dina skulder återbetalas."
"end:in-debt","A replacement inspector will be found easily.","En ersättningsinspektör kommer lätt att hittas."
"end:in-debt","Glory to Arstotzka.","Ära åt Arstotzka."
"end:family-dead","Your entire family is gone.","Hela din familj är borta."
"end:family-dead","The Ministry Of Labor focuses on Arstotzka's future growth.","Arbetsministeriet fokuserar på Arstotzkas fortsatta tillväxt."
"end:family-dead","Workers are expected to support large healthy families.","Arbetare förväntas stödja stora friska familjer."
"end:family-dead","Your position will be filled by someone more appropriate.","Din position kommer fyllas av någon mer lämplig."
"end:family-dead","Glory to Arstotzka.","Ära åt Arstotzka."
"end:turned-over-ezic-docs","You are under arrest for associating with suspicious groups.","Du är under arrest för samröre med misstänka grupper."
"end:turned-over-ezic-docs","The Ministry of Information will perform a full audit of your recent activities.","Informationsministeriet kommer genomföra en fullständig granskning angående dina tidigare aktiviteter."
"end:turned-over-ezic-docs","Glory to Arstotzka.","Ära åt Arstotzka."
"end:caught-with-ezic-money","The Ministry of Income has discovered an anomaly in your earnings.","Inkomstministeriet har upptäckt en anomali i dina inkomster."
"end:caught-with-ezic-money","You are under arrest pending a full audit of your recent activities.","Du är under arrest i avvaktan på en fullständig granskning av dina tidigare aktiviteter."
"end:caught-with-ezic-money","Your family will likewise be held for questioning.","Din familj kommer likaledes hållas för förhör."
"end:caught-with-ezic-money","The border will remain open under a replacement inspector.","Gränsen kommer hållas öppen genom en ersättningsinspektör."
"end:caught-with-ezic-money","Glory to Arstotzka.","Ära åt Arstotzka."
"end:killed-innocent","You are under arrest for the murder of an innocent.","Du är under arrest för att ha mördat någon oskyldig."
"end:killed-innocent","The penalty is death.","Straffet är döden."
"end:killed-innocent","Your family will be questioned about their involvement.","Din familj kommer förhöras angående deras inblandning."
"end:killed-innocent","The border will remain open under a replacement inspector.","Gränsen kommer hållas öppen genom en ersättningsinspektör."
"end:killed-innocent","Glory to Arstotzka.","Ära åt Arstotzka."
"end:tranqed-innocent","You are under arrest for attacking an innocent.","Du är under arrest för att ha attackerat någon oskyldig."
"end:tranqed-innocent","The penalty is forced labor.","Straffet är tvångsarbete."
"end:tranqed-innocent","Your family will be questioned about their involvement.","Din familj kommer förhöras angående deras inblandning."
"end:tranqed-innocent","The border will remain open under a replacement inspector.","Gränsen kommer hållas öppen genom en ersättningsinspektör."
"end:tranqed-innocent","Glory to Arstotzka.","Ära åt Arstotzka."
"end:killed-guard","You are under arrest for the murder of an Arstotzkan official.","Du är under arrest för att ha mördat en Arstotzkansk tjänsteman."
